link,data,miasto,dzielnica,cena,od,poziom,umeblowanie,zabudowa,powierzchnia,pokoje,czynsz dodatkowo
https://www.olx.pl/oferta/2-pokoje-zoliborz-tuz-przy-metrze-CID3-IDGSsoG.html#aebf69ee9d;promoted,17 kwietnia 2021,"Warszawa,",Żoliborz,2400,Osoby prywatnej,4,1,Blok,39,2,1
https://www.olx.pl/oferta/wynajme-2-pok-40m2-na-ul-ksiazkowej-7d-tarchomin-miejsce-garazowe-CID3-IDJstQk.html#fd074becd5;promoted,17 kwietnia 2021,"Warszawa,",Białołęka,2200,Osoby prywatnej,3,1,Blok,40,2,1
https://www.olx.pl/oferta/nowe-mieszkanie-kawalerka-wola-bemowo-blisko-metro-tramwaj-CID3-IDJ7YzM.html#4c015e879d,17 kwietnia 2021,"Warszawa,",Bemowo,999,Biuro / Deweloper,3,1,Apartamentowiec,14,Kawalerka,350
https://www.olx.pl/oferta/przestronne-mieszkanie-na-bialym-kamieniu-CID3-IDJ38X1.html#3365edd0d1;promoted,16 kwietnia 2021,"Warszawa,",Mokotów,4500,Osoby prywatnej,2,1,Blok,92,3,500
https://www.olx.pl/oferta/nowe-mieszkanie-apartament-do-wynajecia-ursus-15-min-do-centrum-2-pok-CID3-IDJd0hS.html#25e8bbc894;promoted,16 kwietnia 2021,"Warszawa,",Ursus,1999,Osoby prywatnej,3,1,Apartamentowiec,41,2,380
https://www.olx.pl/oferta/przytulna-kawalarka-CID3-IDJtD4o.html#ff23ca5e79,16 kwietnia 2021,"Warszawa,",Praga-Południe,1000,Osoby prywatnej,5,1,Blok,20,Kawalerka,380
https://www.olx.pl/oferta/saska-kepa-grochow-2-pokoje-1800zl-CID3-IDJ5x3A.html#ff23ca5e79;promoted,16 kwietnia 2021,"Warszawa,",Praga-Południe,1800,Osoby prywatnej,8,1,Blok,41,2,350
https://www.olx.pl/oferta/kawalerka-wlochy-okecie-31m2-miejsce-garazowe-klimatyzacja-CID3-IDIvPjM.html#bd20095740;promoted,16 kwietnia 2021,"Warszawa,",Włochy,1800,Osoby prywatnej,2,1,Blok,31,Kawalerka,250
https://www.olx.pl/oferta/mieszkanie-na-wynajem-CID3-IDJtEbZ.html#ff23ca5e79,16 kwietnia 2021,"Warszawa,",Białołęka,1800,Osoby prywatnej,6,1,Apartamentowiec,46,2,500
https://www.olx.pl/oferta/mieszkanie-do-wynajecia-od-zaraz-CID3-IDJucFa.html#422618dedf,17 kwietnia 2021,"Warszawa,",Włochy,2100,Osoby prywatnej,2,1,Blok,48,2,1
https://www.olx.pl/oferta/nowoczesny-2-pok-apartament-metro-wilanowska-garaz-CID3-IDJkO4X.html#5a80808650;promoted,16 kwietnia 2021,"Warszawa,",Mokotów,2150,Osoby prywatnej,Powyżej 10,1,Apartamentowiec,56,2,650
https://www.olx.pl/oferta/wynajme-mieszkanie-pokoj-w-warszawie-CID3-IDJuhMl.html#2356d92a79,17 kwietnia 2021,"Warszawa,",Ursus,1,Osoby prywatnej,2,1,Blok,50,2,1
https://www.olx.pl/oferta/wygodne-studio-z-sypialnia-w-aneksie-centrum-bezplatny-parking-CID3-IDIyiWv.html#72d7a7dc4d,17 kwietnia 2021,"Warszawa,",Śródmieście,1400,Osoby prywatnej,5,1,Blok,27,2,470
https://www.olx.pl/oferta/mieszkanie-do-wynajecia-CID3-IDJtK1J.html#25e8bbc894;promoted,16 kwietnia 2021,"Warszawa,",Żoliborz,1600,Osoby prywatnej,6,1,Blok,38,2,10
https://www.olx.pl/oferta/mieszkanie-centrum-warszawy-ul-zlota-twarda-CID3-IDJtzYZ.html#07ae91178c,16 kwietnia 2021,"Warszawa,",Śródmieście,1350,Osoby prywatnej,5,1,Kamienica,52,2,862
https://www.olx.pl/oferta/metro-natolin-32-metry-funkcjonalne-CID3-IDJufk1.html#aebf69ee9d,17 kwietnia 2021,"Warszawa,",Ursynów,1500,Osoby prywatnej,4,1,Blok,32,Kawalerka,500
https://www.olx.pl/oferta/mieszkanie-2-pokoje-43m2-ursus-hennela-garaz-2400-calosc-CID3-IDJtZno.html#db10b50a4b,17 kwietnia 2021,"Warszawa,",Ursus,1800,Osoby prywatnej,5,1,Blok,43,2,600
https://www.olx.pl/oferta/bezposrednio-po-remoncie-przy-metrze-slodowiec-CID3-IDHjAQ4.html#fd074becd5,17 kwietnia 2021,"Warszawa,",Bielany,1399,Osoby prywatnej,2,1,Blok,18,Kawalerka,1
https://www.olx.pl/oferta/nowoczesne-2-pok-goclaw-saska-kepa-z-panorama-CID3-IDIxtaz.html#5a80808650;promoted,16 kwietnia 2021,"Warszawa,",Praga-Południe,2200,Osoby prywatnej,7,1,Blok,53,2,480
https://www.olx.pl/oferta/2-pok-42m-zelazna-ciche-przy-grzybowskiej-srodmiescie-CID3-IDJhj07.html#462c1f036d,17 kwietnia 2021,"Warszawa,",Śródmieście,1750,Biuro / Deweloper,6,1,Blok,42,2,1
https://www.olx.pl/oferta/do-wynajecia-nowe-mieszkanie-3-pokojowe-poborzanska-CID3-IDIVJb7.html#3365edd0d1;promoted,16 kwietnia 2021,"Warszawa,",Targówek,2200,Osoby prywatnej,2,1,Apartamentowiec,54,3,800
https://www.olx.pl/oferta/rembertow-35m2-2-pokoje-1500zl-CID3-IDJsMtn.html#14aaf70e72;promoted,17 kwietnia 2021,"Warszawa,",Rembertów,1500,Osoby prywatnej,5,1,Blok,35,2,350
https://www.olx.pl/oferta/wynajme-2-pokoje-obok-wola-park-kawalerka-CID3-IDI2kQn.html#25e8bbc894;promoted,16 kwietnia 2021,"Warszawa,",Bemowo,1749,Osoby prywatnej,7,1,Blok,32,2,1
https://www.olx.pl/oferta/wynajem-mieszkania-2-pokoje-CID3-IDJqN9G.html#4a0499b52f;promoted,18 kwietnia 2021,"Warszawa,",Targówek,1700,Osoby prywatnej,6,1,Blok,39,2,100
https://www.olx.pl/oferta/wynajme-mieszkanie-na-bemowie-czynsz-w-cenie-CID3-IDIYpjJ.html#2356d92a79;promoted,14 kwietnia 2021,"Warszawa,",Bemowo,2400,Osoby prywatnej,1,0,Dom,60,2,1
https://www.olx.pl/oferta/kawalerka-przy-skrzyzowaniu-zwirki-i-wigury-z-hynka-CID3-IDJtFYp.html#1b4eb01e1c,16 kwietnia 2021,"Warszawa,",Włochy,1300,Osoby prywatnej,3,1,Blok,25,Kawalerka,300
https://www.olx.pl/oferta/nowoczesna-kawalerka-na-mokotowie-garaz-CID3-IDJtCJt.html#ff23ca5e79,16 kwietnia 2021,"Warszawa,",Mokotów,2200,Osoby prywatnej,5,1,Apartamentowiec,30,Kawalerka,1
https://www.olx.pl/oferta/brodno-2-pokoje-z-widna-osobna-kuchnia-38-m2-CID3-IDIyGg3.html#839a743bc2,17 kwietnia 2021,"Warszawa,",Targówek,1500,Osoby prywatnej,8,1,Blok,38,2,600
https://www.olx.pl/oferta/jasne-przytulne-mieszkanie-na-muranowie-kino-femina-CID3-IDJuHCn.html#0d85410fb0,17 kwietnia 2021,"Warszawa,",Wola,2200,Osoby prywatnej,2,1,Kamienica,30,Kawalerka,420
https://www.olx.pl/oferta/mieszkanie-do-wynajecia-CID3-IDJ3doy.html#db57b3b96a;promoted,17 kwietnia 2021,"Warszawa,",Mokotów,1700,Biuro / Deweloper,9,1,Blok,31,Kawalerka,300
https://www.olx.pl/oferta/wynajme-mieszkanie-praga-poludnie-ul-ks-j-sztuki-CID3-IDJljrw.html#4c015e879d;promoted,17 kwietnia 2021,"Warszawa,",Praga-Południe,1850,Osoby prywatnej,1,1,Blok,45,2,1
https://www.olx.pl/oferta/2pokoje-z-oddzielna-kuchnia-targowek-czynsz-w-cenie-CID3-IDJdSFA.html#4c015e879d,17 kwietnia 2021,"Warszawa,",Targówek,2000,Osoby prywatnej,9,1,Blok,40,2,1
https://www.olx.pl/oferta/bliska-bialoleka-targowek-2-osobne-pokoje-osobna-kuchnia-CID3-IDJtAj3.html#07ae91178c,16 kwietnia 2021,"Warszawa,",Białołęka,1600,Osoby prywatnej,Parter,1,Blok,50,2,1
https://www.olx.pl/oferta/mieszkanie-do-wynajecia-cybernetyki-nowe-CID3-IDJtxiQ.html#5a80808650;promoted,16 kwietnia 2021,"Warszawa,",Mokotów,2500,Osoby prywatnej,2,1,Blok,40,2,1
https://www.olx.pl/oferta/mieszkanie-2-pokoje-przy-metrze-wierzbno-CID3-IDCh6H0.html#3365edd0d1,16 kwietnia 2021,"Warszawa,",Mokotów,2000,Osoby prywatnej,6,1,Blok,40,2,1
https://www.olx.pl/oferta/mam-do-wynajecia-mieszkanie-na-mokotowie-37-m-2pk-CID3-IDIZuUM.html#bd20095740,16 kwietnia 2021,"Warszawa,",Mokotów,1800,Osoby prywatnej,4,1,Blok,36,2,400
https://www.olx.pl/oferta/kawalerka-w-nowym-apartamentowcu-na-ursusie-CID3-IDJqwtw.html#07ae91178c;promoted,17 kwietnia 2021,"Warszawa,",Ursus,1195,Osoby prywatnej,6,1,Apartamentowiec,27,Kawalerka,350
https://www.olx.pl/oferta/kawalerka-dla-pana-bezposrednio-w-ursusie-25-m2-blisko-pkp-i-skm-CID3-IDJ71Z6.html#462c1f036d;promoted,17 kwietnia 2021,"Warszawa,",Ursus,1250,Osoby prywatnej,1,1,Kamienica,25,Kawalerka,1
https://www.olx.pl/oferta/tylko-u-nas-rakowiec-ladne-ciche-2-pokoje-z-widna-kuchnia-1500-zl-CID3-IDELnu2.html#67d7dd83b9,17 kwietnia 2021,"Warszawa,",Ochota,1500,Biuro / Deweloper,4,1,Blok,39,2,400
https://www.olx.pl/oferta/1-bedroom-with-a-balcony-spire-CID3-IDJlPOF.html#fd074becd5;promoted,17 kwietnia 2021,"Warszawa,",Śródmieście,2550,Osoby prywatnej,4,1,Apartamentowiec,40,2,1
https://www.olx.pl/oferta/mieszkanie-2-pokojowe-z-garazem-48m2-ul-ostrobramska-CID3-IDJtYly.html#db10b50a4b,17 kwietnia 2021,"Warszawa,",Praga-Południe,2300,Osoby prywatnej,8,1,Blok,48,2,1
https://www.olx.pl/oferta/wynajme-dwupokojowe-mieszkanie-zeran-targowek-CID3-IDJrLah.html#3365edd0d1;promoted,16 kwietnia 2021,"Warszawa,",Białołęka,1800,Osoby prywatnej,Parter,1,Blok,42,2,370
https://www.olx.pl/oferta/apartament-2-pokoje-mokotow-wyposazony-do-wynajecia-CID3-IDJjUl5.html#839a743bc2;promoted,15 kwietnia 2021,"Warszawa,",Mokotów,2350,Osoby prywatnej,7,1,Apartamentowiec,44,2,1
https://www.olx.pl/oferta/kawalerka-na-mokotowie-przy-metrze-wierzbno-CID3-IDJtmW7.html#37e50b5da4,16 kwietnia 2021,"Warszawa,",Mokotów,1450,Biuro / Deweloper,8,1,Blok,29,Kawalerka,300
https://www.olx.pl/oferta/mieszkanie-35m2-2-pokoje-wysoki-standard-swietny-lokalizacja-film-CID3-IDHQ754.html#2356d92a79;promoted,16 kwietnia 2021,"Warszawa,",Śródmieście,1800,Osoby prywatnej,10,1,Blok,35,2,400
https://www.olx.pl/oferta/mieszkanie-na-mokotowie-wynajem-CID3-IDJ5A0L.html#bd20095740;promoted,18 kwietnia 2021,"Warszawa,",Mokotów,1900,Osoby prywatnej,4,1,Blok,36,2,374
https://www.olx.pl/oferta/zeran-krzyzowki-43m-nowe-mieszkanie-na-wynajem-15-min-do-centrum-CID3-IDJrQZ4.html#2356d92a79,17 kwietnia 2021,"Warszawa,",Białołęka,2200,Osoby prywatnej,3,1,Blok,43,2,500
https://www.olx.pl/oferta/pejzazowa-2-mokotow-2-pokoje-basen-garaz-metro-zwierzeta-ok-0-prowizji-CID3-IDJtnhF.html#37e50b5da4,16 kwietnia 2021,"Warszawa,",Mokotów,1800,Biuro / Deweloper,5,1,Blok,32,2,570
https://www.olx.pl/oferta/lux-kawalerka-zoliborz-CID3-IDxE0Fw.html#fd074becd5,17 kwietnia 2021,"Warszawa,",Żoliborz,1680,Biuro / Deweloper,8,1,Blok,31,Kawalerka,1
https://www.olx.pl/oferta/kawalerka-z-aneksem-kuchennym-i-lazienka-w-centrum-miasta-lwowska-9-CID3-IDJqoKD.html#839a743bc2;promoted,17 kwietnia 2021,"Warszawa,",Śródmieście,1720,Biuro / Deweloper,Parter,1,Kamienica,27,Kawalerka,280
https://www.olx.pl/oferta/nowa-kawalerka-przy-metrze-CID3-IDJnMPT.html#ff23ca5e79,16 kwietnia 2021,"Warszawa,",Wola,2150,Osoby prywatnej,Powyżej 10,1,Apartamentowiec,34,Kawalerka,200
https://www.olx.pl/oferta/kawalerka-bez-kaucji-komfortowa-1-sierpnia-ochota-1300-zl-CID3-IDJtp80.html#37e50b5da4;promoted,16 kwietnia 2021,"Warszawa,",Ochota,1300,Osoby prywatnej,1,1,Blok,26,Kawalerka,1
https://www.olx.pl/oferta/nowoczesne-mieszkanie-2-pokojowe-ursus-golabki-CID3-IDJhDzp.html#4c015e879d,17 kwietnia 2021,"Warszawa,",Ursus,2300,Osoby prywatnej,Parter,1,Blok,38,2,1
https://www.olx.pl/oferta/kawalerka-ochota-ul-czestochowska-23m2-balkon-CID3-IDINyBm.html#67d7dd83b9,17 kwietnia 2021,"Warszawa,",Ochota,1400,Osoby prywatnej,3,1,Kamienica,23,Kawalerka,225
https://www.olx.pl/oferta/ul-ogrodowa-piekny-apartament-z-super-widokiem-CID3-IDJduqE.html#14aaf70e72;promoted,17 kwietnia 2021,"Warszawa,",Wola,2600,Osoby prywatnej,7,1,Apartamentowiec,45,2,1
https://www.olx.pl/oferta/kawalerka-warszawa-ochota-ul-szczesliwicka-wolne-od-1-06-2021-CID3-IDJup52.html#2356d92a79,17 kwietnia 2021,"Warszawa,",Ochota,1700,Osoby prywatnej,4,1,Apartamentowiec,32,Kawalerka,400
https://www.olx.pl/oferta/wynajem-mieszkania-CID3-IDJtUma.html#db10b50a4b,17 kwietnia 2021,"Warszawa,",Targówek,650,Osoby prywatnej,5,1,Blok,73,Kawalerka,5
https://www.olx.pl/oferta/metro-trocka-gajkowicza-targowek-mieszkanie-2-pokoje-z-kuchnia-CID3-IDGM93Z.html#3365edd0d1;promoted,17 kwietnia 2021,"Warszawa,",Targówek,1900,Osoby prywatnej,2,1,Blok,45,2,600
https://www.olx.pl/oferta/jednopokojowe-do-wynajecia-CID3-IDJuFYn.html#908e50fc64,17 kwietnia 2021,"Warszawa,",Praga-Południe,1600,Osoby prywatnej,4,1,Blok,25,Kawalerka,1
https://www.olx.pl/oferta/mieszkanie-2-pokoje-metro-wierzbno-CID3-IDJufqD.html#aebf69ee9d,17 kwietnia 2021,"Warszawa,",Mokotów,2600,Osoby prywatnej,1,1,Blok,40,2,1
https://www.olx.pl/oferta/mieszkanie-targowek-CID3-IDHYRCf.html#ff23ca5e79,16 kwietnia 2021,"Warszawa,",Wawer,2300,Osoby prywatnej,4,1,Blok,47,2,1
https://www.olx.pl/oferta/mieszkanie-2-pokojowe-dolny-mokotow-CID3-IDHXmDE.html#4c015e879d,17 kwietnia 2021,"Warszawa,",Mokotów,1690,Osoby prywatnej,Parter,1,Blok,30,2,1
https://www.olx.pl/oferta/wynajme-mieszkanie-2-pokoje-32-m2-mokotow-cybernetyki-CID3-IDH8x2s.html#462c1f036d;promoted,17 kwietnia 2021,"Warszawa,",Mokotów,2000,Osoby prywatnej,4,1,Blok,32,2,1
https://www.olx.pl/oferta/mieszkanie-os-wilno-2-pokoje-z-garazem-najtaniej-CID3-IDJhoaC.html#4a0499b52f;promoted,18 kwietnia 2021,"Warszawa,",Targówek,2390,Osoby prywatnej,3,1,Blok,42,2,1
https://www.olx.pl/oferta/kawalerka-sadyba-warszawa-mokotow-CID3-IDIv8gO.html#4a0499b52f;promoted,18 kwietnia 2021,"Warszawa,",Mokotów,1600,Osoby prywatnej,10,1,Blok,27,Kawalerka,7
https://www.olx.pl/oferta/2-pokojowe-garaz-i-ogrodek-w-cenie-CID3-IDJtAXL.html#ff23ca5e79,16 kwietnia 2021,"Warszawa,",Targówek,2200,Osoby prywatnej,Parter,1,Blok,41,2,1
https://www.olx.pl/oferta/38-m-ciche-ladne-przy-metrze-wierzbno-CID3-IDJ00df.html#07ae91178c,16 kwietnia 2021,"Warszawa,",Mokotów,1500,Osoby prywatnej,Parter,1,Kamienica,38,2,200
https://www.olx.pl/oferta/apartament-2-pokoje-bliska-wola-metro-garaz-CID3-IDIwWt0.html#db57b3b96a,17 kwietnia 2021,"Warszawa,",Wola,2200,Biuro / Deweloper,1,1,Apartamentowiec,39,2,400
https://www.olx.pl/oferta/mieszkanie-dwupokojowe-osobna-kuchnia-CID3-IDISeWf.html#db57b3b96a;promoted,17 kwietnia 2021,"Warszawa,",Wola,2300,Osoby prywatnej,5,1,Blok,48,2,1
https://www.olx.pl/oferta/apartament-2-pokojowy-na-wilanowie-43m2-strefa-wilanow-CID3-IDHejWY.html#0d85410fb0;promoted,17 kwietnia 2021,"Warszawa,",Wilanów,2390,Osoby prywatnej,3,1,Apartamentowiec,43,2,490
https://www.olx.pl/oferta/kawalerka-w-okolicy-ronda-starzynskiego-CID3-IDJtF3t.html#1b4eb01e1c;promoted,16 kwietnia 2021,"Warszawa,",Praga-Północ,1500,Osoby prywatnej,9,1,Blok,23,Kawalerka,300
https://www.olx.pl/oferta/bezp-jaktorowska-wiersz-o-mieszkaniu-w-poblizu-ronda-daszynskiego-CID3-IDGlBGQ.html#422618dedf;promoted,17 kwietnia 2021,"Warszawa,",Wola,1600,Biuro / Deweloper,3,1,Apartamentowiec,26,Kawalerka,1
https://www.olx.pl/oferta/mieszkanie-2-pokojowe-osobna-kuchnia-2-balkony-dobra-komunikacja-CID3-IDJgFpv.html#462c1f036d,17 kwietnia 2021,"Warszawa,",Praga-Północ,1700,Osoby prywatnej,1,1,Blok,50,2,500
https://www.olx.pl/oferta/mieszkanie-na-wynajem-od-zaraz-CID3-IDILLWS.html#aebf69ee9d;promoted,17 kwietnia 2021,"Warszawa,",Targówek,2000,Osoby prywatnej,6,1,Apartamentowiec,36,2,500
https://www.olx.pl/oferta/wyciszone-studio-66m2-klimatyzacja-sauna-jacuzzi-ogrodek-20m2-CID3-IDJdg6q.html#1b4eb01e1c;promoted,16 kwietnia 2021,"Warszawa,",Ursus,2300,Osoby prywatnej,Parter,1,Apartamentowiec,66,2,690
https://www.olx.pl/oferta/ul-gieysztora-garaz-i-komorka-lokatorska-CID3-IDJuBBL.html#908e50fc64,17 kwietnia 2021,"Warszawa,",Wilanów,2600,Biuro / Deweloper,1,1,Apartamentowiec,41,2,1
https://www.olx.pl/oferta/1-pok-30m-zoliborz-ul-podlesna-metro-slodowiec-las-bielanski-CID3-IDJg0Rb.html#462c1f036d,17 kwietnia 2021,"Warszawa,",Wola,1250,Biuro / Deweloper,Parter,1,Blok,30,Kawalerka,1
https://www.olx.pl/oferta/mieszkanie-42m2-na-atrakcyjnym-osiedlu-strzezonym-bemowo-CID3-IDJgNKJ.html#ff23ca5e79,16 kwietnia 2021,"Warszawa,",Bemowo,1700,Osoby prywatnej,4,1,Apartamentowiec,38,Kawalerka,500
https://www.olx.pl/oferta/bezposrednio-54-m2-ul-brechta-15-m-dworzec-wilenski-2150-zl-calosc-CID3-IDJosOI.html#2356d92a79,17 kwietnia 2021,"Warszawa,",Praga-Północ,2150,Osoby prywatnej,3,1,Blok,54,2,1
https://www.olx.pl/oferta/52-m2-po-remoncie-apartamentowiec-2004r-400-m-od-metra-natolin-CID3-IDIigwE.html#5a80808650,16 kwietnia 2021,"Warszawa,",Ursynów,1999,Biuro / Deweloper,5,1,Apartamentowiec,52,2,1
https://www.olx.pl/oferta/wynajme-kawalerke-29m2-zoliborz-al-wojska-polskiego-od-1-maja-CID3-IDJlld5.html#bea34531db;promoted,18 kwietnia 2021,"Warszawa,",Żoliborz,1400,Osoby prywatnej,7,1,Blok,29,Kawalerka,100
https://www.olx.pl/oferta/wynajme-mieszkanie-37m2-praga-poludnie-przy-rondzie-wiatraczna-CID3-IDJuHCV.html#0d85410fb0,17 kwietnia 2021,"Warszawa,",Praga-Południe,1750,Osoby prywatnej,Powyżej 10,1,Blok,37,Kawalerka,1
https://www.olx.pl/oferta/wygodne-mieszkanie-45m-klima-metro-garaz-czynsz-w-cenie-eng-CID3-IDIvzLU.html#908e50fc64,17 kwietnia 2021,"Warszawa,",Mokotów,2800,Osoby prywatnej,2,1,Blok,45,2,1
https://www.olx.pl/oferta/wynajme-mieszkanie-40m2-warszawa-ursus-hermana-CID3-IDJ0g2U.html#1b4eb01e1c,16 kwietnia 2021,"Warszawa,",Ursus,1550,Osoby prywatnej,2,1,Blok,40,2,350
https://www.olx.pl/oferta/nowe-2-pok-na-odolanach-CID3-IDJj6ug.html#0d85410fb0;promoted,17 kwietnia 2021,"Warszawa,",Wola,1800,Osoby prywatnej,3,1,Apartamentowiec,30,2,400
https://www.olx.pl/oferta/3-pokoje-50m2-jana-kazimierza-darmowa-silownia-od-zaraz-CID3-IDJu6uh.html#462c1f036d;promoted,17 kwietnia 2021,"Warszawa,",Bemowo,2900,Osoby prywatnej,5,1,Apartamentowiec,50,3,1
https://www.olx.pl/oferta/widne-2-pokojowe-mieszkanie-brodno-targowek-CID3-IDFpROM.html#1b4eb01e1c,16 kwietnia 2021,"Warszawa,",Targówek,1320,Osoby prywatnej,5,1,Blok,39,2,480
https://www.olx.pl/oferta/2-pok-wola-jana-kazimierza-wysoki-standard-ogrodek-garaz-jak-nowe-CID3-IDGhWF1.html#2356d92a79;promoted,17 kwietnia 2021,"Warszawa,",Wola,2000,Osoby prywatnej,Parter,1,Apartamentowiec,30,2,370
https://www.olx.pl/oferta/kawalerka-z-oddzielna-kuchnia-najlepsza-lokalizacja-CID3-IDG6q6C.html#4c015e879d,17 kwietnia 2021,"Warszawa,",Śródmieście,1800,Osoby prywatnej,Powyżej 10,1,Blok,27,Kawalerka,1
